id,postal_code,postal_zone,city_id:id,zone_type,neighborhoods,villages,active
postal_153450,153450,1534,state_co_516,urban,"","",True
postal_131547,131547,1315,state_co_357,rural,"","",True
postal_195539,195539,1955,state_co_564,rural,"","Brisas del Río- Buena Vista-  Cabecera Municipal-  Cabuyo Alto-  Cabuyo Bajo-  Cachimbo-  Campo Bello Bajo-  Cresta de Gallo-  El Credo-  El Diviso-  El Mirador-  El Parnaso-  El Plan-  Guadualito-  La Bermeja-  La Cocha-  La Esperanza-  La Florida-  La P",True
postal_861040,861040,8610,state_co_1272,urban,"","",True
postal_680507,680507,6805,state_co_1123,rural,"","",True
postal_632008,632008,6320,state_co_1019,rural,"","Cristales-La Paloma- Guayaquil Alto-  La Leona-  La Soledad-  Las Auras-  Navarco-  Travesía",True
postal_272050,272050,2720,state_co_795,urban,"","",True
postal_913057,913057,9130,state_co_1292,rural,"","",True
postal_191528,191528,1915,state_co_580,rural,"","",True
postal_416001,416001,4160,state_co_832,urban,"","LLANO DEL HATO- SAN JOAQUIN",True
postal_685041,685041,6850,state_co_1122,urban,"","",True
postal_685048,685048,6850,state_co_1122,rural,"","Agua Fría- Angostura-  Arciniegas-  Cristales-  El Oscuro-  Laderas-  Santa Rosa Buenos Aires",True
postal_730018,730018,7300,state_co_1156,rural,"","Astilleros- Cataima-  Cataimita-  El Corazon-  El Ingenio-  El Secreto la Maria-  Juntas-  La Maria Comucima-  Los Naranjos-  Peñaranda Alta-  Puerto Piedra-  Ramos y Astilleros-  San Simon Alto-  San Simon Bajo-  Tapias-  Tres Esquinas-  Villa Restrepo",True
postal_155047,155047,1550,state_co_481,rural,"","Altosano",True
postal_660007,660007,6600,state_co_1029,rural,"","Amoladora Baja- Betania-  El Chaquiro-  El Edén-  El Pomo-  La Carmelita-  La Renta-  La Siria-  San Marino-  San Vicente-  Santander-  Suecia",True
